,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
2821,KKCL,Kewal Kiran Clothing Limited,Record Date,2021-11-22 15:55:01,2021-11-23 15:55:01,221.4,214.93,-2.9223125564588974
2824,ANDHRSUGAR,The Andhra Sugars Limited,Record Date,2021-11-18 15:53:49,2021-11-19 15:53:49,123.32,115.39,-6.430424910801163
2825,AVG,AVG Logistics Limited,Record Date,2021-11-16 18:42:31,2021-11-17 18:42:31,64.35,64.11,-0.37296037296036505
2826,IEX,Indian Energy Exchange Limited,Record Date,2021-11-16 17:34:05,2021-11-17 17:34:05,273.3,265.33,-2.916209293816329
2828,BHARATFORG,Bharat Forge Limited,Record Date,2021-11-15 16:46:02,2021-11-16 16:46:02,780.0,785.65,0.7243589743589715
2829,POLYPLEX,Polyplex Corporation Limited,Record Date,2021-11-14 20:04:02,2021-11-15 20:04:02,1725.0,1569.14,-9.035362318840573
2830,MANAPPURAM,Manappuram Finance Limited,Record Date,2021-11-13 18:58:41,2021-11-14 18:58:41,207.0,186.16,-10.067632850241548
2831,MANAPPURAM,Manappuram Finance Limited,Record Date,2021-11-13 17:03:44,2021-11-14 17:03:44,207.0,186.16,-10.067632850241548
2833,SERVOTECH,Servotech Power Systems Limited,Record Date,2021-11-12 22:33:59,2021-11-13 22:33:59,4.3,4.26,-0.9302325581395358
2834,NUCLEUS,Nucleus Software Exports Limited,Record Date,2021-11-12 21:09:08,2021-11-13 21:09:08,581.9,559.42,-3.8632067365526757
2835,CUPID,Cupid Limited,Record Date,2021-11-12 19:05:31,2021-11-13 19:05:31,230.5,213.87,-7.214750542299347
2836,HGS,Hinduja Global Solutions Limited,Record Date,2021-11-12 17:58:04,2021-11-13 17:58:04,1438.97,1219.53,-15.249796729605208
2837,GRANULES,Granules India Limited,Record Date,2021-11-12 17:35:28,2021-11-13 17:35:28,298.0,300.25,0.7550335570469798
2838,ARE&M,Amara Raja Energy & Mobility Limited,Record Date,2021-11-12 16:29:01,2021-11-13 16:29:01,0.0,0.0,0.0
2839,KIOCL,KIOCL Limited,Record Date,2021-11-12 16:05:41,2021-11-13 16:05:41,262.0,258.11,-1.4847328244274758
2840,EASEMYTRIP,Easy Trip Planners Limited,Record Date,2021-11-12 15:51:26,2021-11-13 15:51:26,31.87,32.03,0.50203953561343
2844,PTC,PTC India Limited,Record Date,2021-11-11 19:30:03,2021-11-12 19:30:03,122.25,104.92,-14.175869120654395
2845,COCHINSHIP,Cochin Shipyard Limited,Record Date,2021-11-11 19:11:31,2021-11-12 19:11:31,189.0,156.95,-16.957671957671963
2846,TOTAL,Total Transport Systems Limited,Record Date,2021-11-11 18:10:11,2021-11-12 18:10:11,53.1,51.41,-3.1826741996233614
2847,GPPL,Gujarat Pipavav Port Limited,Record Date,2021-11-11 18:07:01,2021-11-12 18:07:01,111.6,93.63,-16.102150537634408
